X	Sig Axial Total	Tempo	Sig Axial Desv	Tempo	Sig Conf	Tempo	Def Axial	Tempo	Def Lateral	Tempo	Def Volume
2.0742188	1.23072946	2.0742188	0.52849662	2.0742188	0.70223284	2.0742188	-0.0001393207	2.0742188	-0.0008145658	2.0742188	-0.0017684522
4.0742188	1.23310364	4.0742188	0.52588332	4.0742188	0.70722032	4.0742188	-0.0001971256	4.0742188	-0.000828095	4.0742188	-0.0018533155
6.0742188	1.22364801	6.0742188	0.52026933	6.0742188	0.70337868	6.0742188	-0.0002141572	6.0742188	-0.0009478527	6.0742188	-0.0021098626
8.0742188	1.23669278	8.0742188	0.53187209	8.0742188	0.70482069	8.0742188	-0.0001846273	8.0742188	-0.0007580863	8.0742188	-0.0017008
10.074219	1.22813934	10.074219	0.52813357	10.074219	0.70000577	10.074219	-0.0002032928	10.074219	-0.0007465015	10.074219	-0.0016962958
12.074219	1.22013593	12.074219	0.51768196	12.074219	0.70245397	12.074219	-7.94E-05	12.074219	-0.0007240166	12.074219	-0.001527454
14.074219	1.22774624	14.074219	0.53223693	14.074219	0.69550931	14.074219	-0.0004786202	14.074219	-0.0009415639	14.074219	-0.0023617479
16.074219	1.28622436	16.074219	0.51452237	16.074219	0.77170199	16.074219	-0.0001771282	16.074219	-0.0008612234	16.074219	-0.001899575
18.074219	1.38532012	18.074219	0.50914013	18.074219	0.87617999	18.074219	-8.21E-05	18.074219	-0.0007297645	18.074219	-0.0015416545
20.074219	1.48681563	20.074219	0.48785788	20.074219	0.99895775	20.074219	-5.63E-05	20.074219	-0.0003078979	20.074219	-0.0006720845
22.074219	1.60540892	22.074219	0.47734082	22.074219	1.1280681	22.074219	0.000199236	22.074219	0.0003551272	22.074219	0.0009094905
24.074219	1.74637633	24.074219	0.47930083	24.074219	1.2670755	24.074219	0.0002652826	24.074219	0.0012506566	24.074219	0.0027665957
26.074219	1.8903641	26.074219	0.4746941	26.074219	1.41567	26.074219	0.0007630396	26.074219	0.0031752589	26.074219	0.0071135573
28.074219	2.04796119	28.074219	0.47042009	28.074219	1.5775411	28.074219	0.0011996725	28.074219	0.0075527257	28.074219	0.016305124
30.074219	2.18519076	30.074219	0.44933006	30.074219	1.7358607	30.074219	0.0018741888	30.074219	0.013949241	30.074219	0.029772669
32.074219	2.34494558	32.074219	0.45297888	32.074219	1.8919667	32.074219	0.002590037	32.074219	0.022703107	32.074219	0.047996249
34.074219	2.50156782	34.074219	0.45833302	34.074219	2.0432348	34.074219	0.0032570749	34.074219	0.034169123	34.074219	0.071595319
36.074219	2.66055472	36.074219	0.47885042	36.074219	2.1817043	36.074219	0.0037828456	36.074219	0.046519801	36.074219	0.096822448
38.074219	2.79663713	38.074219	0.48544773	38.074219	2.3111894	38.074219	0.0045306208	38.074219	0.0575707	38.074219	0.11967202
40.074219	2.92457858	40.074219	0.49170148	40.074219	2.4328771	40.074219	0.0047864988	40.074219	0.067448653	40.074219	0.13968381
42.074219	3.06218311	42.074219	0.51229191	42.074219	2.5498912	42.074219	0.0057282033	42.074219	0.07635089	42.074219	0.15842998
44.074219	3.19164592	44.074219	0.51903182	44.074219	2.6726141	44.074219	0.0061477842	44.074219	0.08375793	44.074219	0.17366365
46.074219	3.29333947	46.074219	0.50206417	46.074219	2.7912753	46.074219	0.0065754633	46.074219	0.090552211	46.074219	0.18767989
48.074219	3.42977158	48.074219	0.51269448	48.074219	2.9170771	48.074219	0.0071358453	48.074219	0.097163565	48.074219	0.20146298
50.074219	3.54921243	50.074219	0.50110883	50.074219	3.0481036	50.074219	0.0076610218	50.074219	0.10341087	50.074219	0.21448275
52.074219	3.6757602	52.074219	0.4969525	52.074219	3.1788077	52.074219	0.0081515415	52.074219	0.10960732	52.074219	0.22736618
54.074219	3.82064334	54.074219	0.51234764	54.074219	3.3082957	54.074219	0.00837267	54.074219	0.11567523	54.074219	0.2397231
56.074219	3.95296585	56.074219	0.51455295	56.074219	3.4384129	56.074219	0.0089730462	56.074219	0.12174867	56.074219	0.25247037
58.074219	4.08986266	58.074219	0.51691276	58.074219	3.5729499	58.074219	0.0095206583	58.074219	0.12755169	58.074219	0.26462403
60.074219	4.20508013	60.074219	0.50525343	60.074219	3.6998267	60.074219	0.0099664498	60.074219	0.13309105	60.074219	0.27614856
62.074219	4.34500711	62.074219	0.51401651	62.074219	3.8309906	62.074219	0.010476444	62.074219	0.13823989	62.074219	0.28695622
64.074219	4.4774464	64.074219	0.5115658	64.074219	3.9658806	64.074219	0.010919465	64.074219	0.14327368	64.074219	0.29746681
66.074219	4.60169263	66.074219	0.50815243	66.074219	4.0935402	66.074219	0.011374604	66.074219	0.14818633	66.074219	0.30774724
68.074219	4.73944546	68.074219	0.51552516	68.074219	4.2239203	68.074219	0.011938566	68.074219	0.15300399	68.074219	0.31794655
70.074219	4.86490959	70.074219	0.51321739	70.074219	4.3516922	70.074219	0.01217793	70.074219	0.15752712	70.074219	0.32723218
72.074219	5.01226886	72.074219	0.52614576	72.074219	4.4861231	72.074219	0.012744808	72.074219	0.16250911	72.074219	0.33776301
74.074219	5.12338228	74.074219	0.50812548	74.074219	4.6152568	74.074219	0.012907629	74.074219	0.16702424	74.074219	0.3469561
76.074219	5.26346894	76.074219	0.52038074	76.074219	4.7430882	76.074219	0.013631181	76.074219	0.17142738	76.074219	0.35648596
78.074219	5.39544759	78.074219	0.51261359	78.074219	4.882834	78.074219	0.0140113	78.074219	0.17576703	78.074219	0.36554536
80.074219	5.52116074	80.074219	0.50758994	80.074219	5.0135708	80.074219	0.014430763	80.074219	0.18035363	80.074219	0.37513804
82.074219	5.65813556	82.074219	0.51306736	82.074219	5.1450682	82.074219	0.014679076	82.074219	0.1843788	82.074219	0.38343668
84.074219	5.7780458	84.074219	0.5079242	84.074219	5.2701216	84.074219	0.015464823	84.074219	0.18843201	84.074219	0.39232886
86.074219	5.92044535	86.074219	0.51960695	86.074219	5.4008384	86.074219	0.015913667	86.074219	0.19222245	86.074219	0.40035859
88.074219	6.04894563	88.074219	0.51563233	88.074219	5.5333133	88.074219	0.01632249	88.074219	0.19633667	88.074219	0.40899584
90.074219	6.18573387	90.074219	0.52286017	90.074219	5.6628737	90.074219	0.016692769	90.074219	0.20024215	90.074219	0.41717705
92.074219	6.31690862	92.074219	0.52323842	92.074219	5.7936702	92.074219	0.017276693	92.074219	0.20423257	92.074219	0.42574182
94.074219	6.44202564	94.074219	0.51757234	94.074219	5.9244533	94.074219	0.017733676	94.074219	0.20771073	94.074219	0.43315515
96.074219	6.57175	96.074219	0.5172075	96.074219	6.0545425	96.074219	0.018075373	96.074219	0.21134152	96.074219	0.44075841
98.074219	6.69058485	98.074219	0.50582045	98.074219	6.1847644	98.074219	0.018680196	98.074219	0.21519302	98.074219	0.44906622
100.07422	6.83230523	100.07422	0.51359683	100.07422	6.3187084	100.07422	0.019183587	100.07422	0.21859631	100.07422	0.45637619
102.07422	6.96334002	102.07422	0.51337022	102.07422	6.4499698	102.07422	0.019407811	102.07422	0.22213472	102.07422	0.46367729
104.07422	7.09285906	104.07422	0.51333696	104.07422	6.5795221	104.07422	0.019979969	104.07422	0.22541252	104.07422	0.47080502
106.07422	7.21651859	106.07422	0.50314879	106.07422	6.7133698	106.07422	0.020449635	106.07422	0.22916777	106.07422	0.47878522
108.07422	7.35686709	108.07422	0.51657039	108.07422	6.8402967	108.07422	0.020544101	108.07422	0.23266967	108.07422	0.48588341
110.07422	7.47793222	110.07422	0.50730872	110.07422	6.9706235	110.07422	0.021093888	110.07422	0.23573534	110.07422	0.49256459
112.07422	7.62005686	112.07422	0.51553506	112.07422	7.1045218	112.07422	0.021531459	112.07422	0.23899232	112.07422	0.49951613
114.07422	7.74417297	114.07422	0.51032627	114.07422	7.2338467	114.07422	0.021830328	114.07422	0.24205434	114.07422	0.50593901
116.07422	7.87054023	116.07422	0.50611693	116.07422	7.3644233	116.07422	0.022142353	116.07422	0.24514347	116.07422	0.5124293
118.07422	8.00232461	118.07422	0.50476551	118.07422	7.4975591	118.07422	0.022412531	118.07422	0.24829379	118.07422	0.51900011
120.07422	8.14982887	120.07422	0.52180237	120.07422	7.6280265	120.07422	0.022981273	120.07422	0.25110942	120.07422	0.52520007
122.07422	8.27041916	122.07422	0.51509386	122.07422	7.7553253	122.07422	0.023373783	122.07422	0.25380659	122.07422	0.53098696
124.07422	8.40545638	124.07422	0.51514328	124.07422	7.8903131	124.07422	0.023803981	124.07422	0.25672078	124.07422	0.53724557
126.07422	8.54253793	126.07422	0.52364373	126.07422	8.0188942	126.07422	0.024491904	126.07422	0.25956246	126.07422	0.54361683
128.07422	8.66215798	128.07422	0.51146698	128.07422	8.150691	128.07422	0.024659786	128.07422	0.26243997	128.07422	0.54953974
130.07422	8.78920979	130.07422	0.50793499	130.07422	8.2812748	130.07422	0.024816548	130.07422	0.26515579	130.07422	0.55512816
132.07422	8.92011716	132.07422	0.50581056	132.07422	8.4143066	132.07422	0.025365245	132.07422	0.26781711	132.07422	0.56099945
134.07422	9.04947541	134.07422	0.50582671	134.07422	8.5436487	134.07422	0.025575245	134.07422	0.27029362	134.07422	0.56616247
