radius  u   sigma_rr   sigma_tt   sigma_zz
4  4.5e-05   -0.01875   0.01875   0
3.961  4.54387e-05   -0.0191156   0.0191201   8.99986e-07
3.922  4.58861e-05   -0.0194921   0.0195013   1.83588e-06
3.883  4.63422e-05   -0.0198798   0.0198939   2.80949e-06
3.844  4.68075e-05   -0.0202793   0.0202984   3.82273e-06
3.805  4.72821e-05   -0.020691   0.0207154   4.87765e-06
3.766  4.77664e-05   -0.0211154   0.0211453   5.97641e-06
3.727  4.82606e-05   -0.0215531   0.0215887   7.12131e-06
3.688  4.87651e-05   -0.0220045   0.0220461   8.31479e-06
3.649  4.92802e-05   -0.0224703   0.0225181   9.55947e-06
3.61  4.98063e-05   -0.0229512   0.0230054   1.08581e-05
3.571  5.03436e-05   -0.0234476   0.0235087   1.22137e-05
3.532  5.08925e-05   -0.0239605   0.0240286   1.36293e-05
3.493  5.14535e-05   -0.0244904   0.0245659   1.51084e-05
3.454  5.2027e-05   -0.0250381   0.0251213   1.66545e-05
3.415  5.26132e-05   -0.0256044   0.0256958   1.82715e-05
3.376  5.32128e-05   -0.0261903   0.0262901   1.99635e-05
3.337  5.38261e-05   -0.0267966   0.0269052   2.17349e-05
3.298  5.44537e-05   -0.0274242   0.0275421   2.35903e-05
3.259  5.5096e-05   -0.0280742   0.0282019   2.55349e-05
3.22  5.57535e-05   -0.0287476   0.0288855   2.75741e-05
3.181  5.64268e-05   -0.0294457   0.0295942   2.97136e-05
3.142  5.71166e-05   -0.0301695   0.0303293   3.19598e-05
3.103  5.78233e-05   -0.0309205   0.031092   3.43194e-05
3.064  5.85476e-05   -0.0316999   0.0318839   3.67995e-05
3.025  5.92903e-05   -0.0325092   0.0327062   3.94081e-05
2.986  6.00519e-05   -0.03335   0.0335607   4.21535e-05
2.947  6.08333e-05   -0.0342239   0.0344491   4.50448e-05
2.908  6.16352e-05   -0.0351327   0.0353732   4.80918e-05
2.869  6.24584e-05   -0.0360783   0.0363348   5.13053e-05
2.83  6.33038e-05   -0.0370626   0.0373361   5.46966e-05
2.791  6.41724e-05   -0.0380879   0.0383793   5.82783e-05
2.752  6.5065e-05   -0.0391564   0.0394667   6.20639e-05
2.713  6.59827e-05   -0.0402706   0.040601   6.60681e-05
2.674  6.69266e-05   -0.0414332   0.0417847   7.0307e-05
2.635  6.78978e-05   -0.0426469   0.0430209   7.47981e-05
2.596  6.88975e-05   -0.0439148   0.0443126   7.95602e-05
2.557  6.99269e-05   -0.0452403   0.0456634   8.46142e-05
2.518  7.09875e-05   -0.0466268   0.0470767   8.99829e-05
2.479  7.20807e-05   -0.0480781   0.0485566   9.5691e-05
2.44  7.3208e-05   -0.0495984   0.0501072   0.000101766
2.401  7.43709e-05   -0.051192   0.0517332   0.000108237
2.362  7.55714e-05   -0.0528639   0.0534396   0.000115138
2.323  7.68111e-05   -0.0546191   0.0552316   0.000122505
2.284  7.8092e-05   -0.0564633   0.0571152   0.000130378
2.245  7.94163e-05   -0.0584027   0.0590967   0.000138801
2.206  8.07862e-05   -0.0604439   0.061183   0.000147822
2.167  8.2204e-05   -0.0625942   0.0633817   0.000157497
2.128  8.36724e-05   -0.0648614   0.0657008   0.000167885
2.089  8.51941e-05   -0.0672542   0.0681495   0.000179053
2.05  8.67721e-05   -0.0697821   0.0707375   0.000191076
2.011  8.84094e-05   -0.0724554   0.0734756   0.000204037
1.972  9.01097e-05   -0.0752855   0.0763756   0.000218029
1.933  9.18764e-05   -0.0782849   0.0794506   0.000233158
1.894  9.37138e-05   -0.0814673   0.082715   0.000249541
1.855  9.56259e-05   -0.084848   0.0861846   0.00026731
1.816  9.76176e-05   -0.0884439   0.089877   0.000286616
1.777  9.96939e-05   -0.0922735   0.0938116   0.000307628
1.738  0.00010186   -0.0963575   0.0980102   0.000330539
1.699  0.000104123   -0.100719   0.102497   0.000355569
1.66  0.000106488   -0.105384   0.107299   0.000382967
1.621  0.000108963   -0.110381   0.112446   0.000413022
1.582  0.000111555   -0.115742   0.117972   0.000446062
1.543  0.000114274   -0.121503   0.123915   0.000482469
1.504  0.000117129   -0.127706   0.13032   0.000522681
1.465  0.000120129   -0.134397   0.137233   0.000567211
