"FailureType","Displacement:0","Displacement:1","Displacement:2","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","StrainPlastic:0","StrainPlastic:1","StrainPlastic:2","StrainPlastic:3","StrainPlastic:4","StrainPlastic:5","StrainPlastic:6","StrainPlastic:7","StrainPlastic:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.00059999299,1.57127e-14,0,-9.8641596,0.0044150399,0,0.0044150399,10.0727,0,0,0,0.041706201,-0.00594352,2.64902e-06,0,2.64902e-06,0.0060185902,0,0,0,0,-2.95241e-19,-3.2363299e-20,0,-3.2363299e-20,1.45784e-18,0,0,0,-2.6361e-19,1,0,0.1,0,0
0,0.00057817256,1.0433673e-14,0,-9.2508898,0.0015143162,0,0.0015143162,9.3456907,0,0,0,0.018959831,-0.0055619078,9.0858805e-07,0,9.0858805e-07,0.0055960356,0,0,0,0,7.4637877e-19,-5.8481774e-21,0,-5.8481774e-21,-4.4711909e-19,0,0,0,1.5278052e-19,1,0.003899999,0.1039,0,0
0,0.00055682129,5.9164129e-15,0,-8.6302958,-0.00073090883,0,-0.00073090883,8.6480513,0,0,0,0.0035517144,-0.0051803058,-4.3854513e-07,0,-4.3854513e-07,0.0051866993,0,0,0,0,1.5806899e-18,1.880758e-20,0,1.880758e-20,-1.62528e-18,0,0,0,2.4049684e-19,1,0.0077999979,0.1078,0,0
0,0.00053772342,5.0583694e-15,0,-7.9745221,0.00017261265,0,0.00017261265,8.0914927,0,0,0,0.023393558,-0.0047987523,1.0356742e-07,0,1.0356742e-07,0.0048408578,0,0,0,0,1.4191756e-18,3.4531705e-20,0,3.4531705e-20,6.8779902e-19,0,0,0,-1.2506028e-18,1,0.011699997,0.1117,0,0
0,0.00051948184,4.2087703e-15,0,-7.4030476,0.00051670807,0,0.00051670807,7.5530133,0,0,0,0.029993728,-0.0044598286,3.100252e-07,0,3.100252e-07,0.004513815,0,0,0,0,1.3493787e-18,-1.990574e-19,0,-1.990574e-19,-1.0085979e-18,0,0,0,-2.0867457e-19,1,0.015599996,0.1156,0,0
0,0.00050287071,3.3753088e-15,0,-6.9997106,-5.7615158e-05,0,-5.7615158e-05,7.0694575,0,0,0,0.01395034,-0.0042081978,-3.4568799e-08,0,-3.4568799e-08,0.0042333086,0,0,0,0,1.6130247e-18,-7.800436e-20,0,-7.800436e-20,-4.048019e-19,0,0,0,-9.0742985e-19,1,0.019499995,0.1195,0,0
0,0.00048639363,2.5701065e-15,0,-6.5945554,-0.0005707207,0,-0.0005707207,6.593184,0,0,0,-0.00027290775,-0.0039565684,-3.4243217e-07,0,-3.4243217e-07,0.003956079,0,0,0,0,1.8613202e-18,3.2910838e-20,0,3.2910838e-20,1.387425e-19,0,0,0,-1.5490761e-18,1,0.023400001,0.1234,0,0
0,0.00047202659,2.2096805e-15,0,-6.1607947,-0.0001203619,0,-0.0001203619,6.2315412,0,0,0,0.014149777,-0.0037049663,-7.221692e-08,0,-7.221692e-08,0.0037304393,0,0,0,0,1.8680162e-18,-1.5727552e-20,0,-1.5727552e-20,-2.6597445e-19,0,0,0,-1.2919158e-18,1,0.027299993,0.12729999,0,0
0,0.00045765945,1.8492529e-15,0,-5.7270327,0.00032999861,0,0.00032999861,5.8698964,0,0,0,0.028572517,-0.0034533632,1.9799937e-07,0,1.9799937e-07,0.0035047983,0,0,0,0,1.8747124e-18,-6.4366129e-20,0,-6.4366129e-20,-6.7069293e-19,0,0,0,-1.0347546e-18,1,0.031199999,0.1312,0,0
0,0.00044485135,1.5742411e-15,0,-5.4328723,0.00015028486,0,0.00015028486,5.5398622,0,0,0,0.021397687,-0.0032725604,9.0170857e-08,0,9.0170857e-08,0.0033110804,0,0,0,0,7.7172901e-19,2.6517491e-20,0,2.6517491e-20,1.3178786e-18,0,0,0,-8.0287608e-19,1,0.035100006,0.13510001,0,0
