radius  u   sigma_rr   sigma_tt   sigma_zz  eps_rr   eps_tt   eps_zz  eps_p_rr   eps_p_tt   eps_p_zz
4  2.54403e-05   0.00124267   0.00124267   0.00124267   0   0   0   0   0   0
3.99805  2.54423e-05   0.00123666   0.0135668   0.0029607   -1.03442e-06   6.36368e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.9961  2.54443e-05   0.00123065   0.0135729   0.0029607   -1.03803e-06   6.36729e-06   0   -6.35275e-22   -1.69407e-21   -6.35275e-22
3.99415  2.54464e-05   0.00122463   0.0135789   0.0029607   -1.04164e-06   6.37091e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.9922  2.54484e-05   0.0012186   0.0135849   0.0029607   -1.04526e-06   6.37453e-06   0   -4.23516e-22   0   -4.23516e-22
3.99025  2.54504e-05   0.00121256   0.013591   0.0029607   -1.04889e-06   6.37816e-06   0   -6.35275e-22   -8.47033e-22   -4.23516e-22
3.9883  2.54525e-05   0.00120651   0.013597   0.00296071   -1.05252e-06   6.38179e-06   0   -4.23516e-22   -8.47033e-22   -2.11758e-22
3.98635  2.54545e-05   0.00120045   0.0136031   0.00296071   -1.05615e-06   6.38543e-06   0   -4.23516e-22   -8.47033e-22   -6.35275e-22
3.9844  2.54566e-05   0.00119438   0.0136092   0.00296071   -1.0598e-06   6.38907e-06   0   -8.47033e-22   0   -8.47033e-22
3.98245  2.54587e-05   0.00118831   0.0136152   0.00296071   -1.06344e-06   6.39272e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.9805  2.54608e-05   0.00118222   0.0136213   0.00296071   -1.06709e-06   6.39637e-06   0   -2.11758e-22   0   -2.11758e-22
3.97855  2.54628e-05   0.00117613   0.0136274   0.00296071   -1.07075e-06   6.40003e-06   0   0   8.47033e-22   0
3.9766  2.54649e-05   0.00117002   0.0136335   0.00296071   -1.07441e-06   6.40369e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.97465  2.5467e-05   0.00116391   0.0136397   0.00296071   -1.07808e-06   6.40736e-06   0   -6.35275e-22   -8.47033e-22   -6.35275e-22
3.9727  2.54691e-05   0.00115779   0.0136458   0.00296071   -1.08175e-06   6.41104e-06   0   -2.11758e-22   0   0
