"FailureType","Displacement:0","Displacement:1","Displacement:2","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","StrainPlastic:0","StrainPlastic:1","StrainPlastic:2","StrainPlastic:3","StrainPlastic:4","StrainPlastic:5","StrainPlastic:6","StrainPlastic:7","StrainPlastic:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0.00077452499,5.8067497e-14,0,-9.8825903,-0.0025544099,0,-0.0025544099,2.15678,0,0,0,-1.5451601,-0.0077224402,-3.98371e-06,0,-3.98371e-06,0.0077688699,0,0,0,0,-0.00271998,-2.45106e-06,0,-2.45106e-06,0.0055477102,0,0,0,-2.62043e-18,1,0,0.1,0,0
1,0.00074600434,4.4237549e-14,0,-9.5066681,-0.00095106068,0,-0.00095106068,2.3410888,0,0,0,-1.4331172,-0.0072739949,-1.923813e-06,0,-1.923813e-06,0.0072205011,0,0,0,0,-0.0024298655,-1.3531748e-06,0,-1.3531748e-06,0.0049559805,0,0,0,-4.7342814e-19,1,0.003899999,0.1039,0,0
1,0.00071803515,3.1112736e-14,0,-9.1137409,0.0004267164,0,0.0004267164,2.5337355,0,0,0,-1.3160046,-0.0068255616,-1.6372343e-07,0,-1.6372343e-07,0.0066887243,0,0,0,0,-0.0021469232,-4.1975321e-07,0,-4.1975321e-07,0.0043788822,0,0,0,1.0456777e-18,1,0.0077999979,0.1078,0,0
1,0.00069271494,2.13751e-14,0,-8.6391268,0.00072093745,0,0.00072093745,2.7664335,0,0,0,-1.17454,-0.0063771848,1.562144e-07,0,1.562144e-07,0.0062366491,0,0,0,0,-0.0018984315,-2.7634766e-07,0,-2.7634766e-07,0.0038720684,0,0,0,-4.5137183e-19,1,0.011699997,0.1117,0,0
1,0.00066844985,1.3968137e-14,0,-8.2201881,0.00087890017,0,0.00087890017,2.9718323,0,0,0,-1.0496732,-0.0059672436,3.7603661e-07,0,3.7603661e-07,0.0058087171,0,0,0,0,-0.0016649349,-1.5130385e-07,0,-1.5130385e-07,0.0033958219,0,0,0,3.747907e-19,1,0.015599996,0.1156,0,0
1,0.00064619363,1.0998956e-14,0,-7.9139051,0.00061719364,0,0.00061719364,3.1220019,0,0,0,-0.95838213,-0.0056404141,1.363868e-07,0,1.363868e-07,0.0054405457,0,0,0,0,-0.001467103,-2.3392955e-07,0,-2.3392955e-07,0.0029923229,0,0,0,-3.5277793e-19,1,0.019499995,0.1195,0,0
1,0.00062411139,8.1833937e-15,0,-7.6032257,0.00038693496,0,0.00038693496,3.2743266,0,0,0,-0.86578083,-0.0053135864,-7.3395789e-08,0,-7.3395789e-08,0.0050766612,0,0,0,0,-0.0012711241,-3.0555677e-07,0,-3.0555677e-07,0.0025926037,0,0,0,-9.5311462e-19,1,0.023400001,0.1234,0,0
1,0.00060476945,7.7856007e-15,0,-7.223372,0.00065161247,0,0.00065161247,3.4605641,0,0,0,-0.75256163,-0.0049867989,1.8688056e-07,0,1.8688056e-07,0.0047802515,0,0,0,0,-0.0011043148,-2.0408717e-07,0,-2.0408717e-07,0.0022523797,0,0,0,4.4895124e-19,1,0.027299993,0.12729999,0,0
1,0.00058542745,7.3878053e-15,0,-6.8435163,0.00091629103,0,0.00091629103,3.6468024,0,0,0,-0.63934207,-0.0046600099,4.4715787e-07,0,4.4715787e-07,0.0044838404,0,0,0,0,-0.00093750481,-1.0261719e-07,0,-1.0261719e-07,0.0019121546,0,0,0,1.8510224e-18,1,0.031199999,0.1312,0,0
1,0.00056823069,7.0893325e-15,0,-6.5643125,0.00086754054,0,0.00086754054,3.7836874,0,0,0,-0.55612594,-0.0044021658,3.8347105e-07,0,3.8347105e-07,0.0042299712,0,0,0,0,-0.00079724845,-1.3705466e-07,0,-1.3705466e-07,0.0016260793,0,0,0,-1.0753792e-18,1,0.035100006,0.13510001,0,0
1,0.00055165734,6.8196279e-15,0,-6.3169723,0.00059943285,0,0.00059943285,3.9049556,0,0,0,-0.48240426,-0.0041685477,1.7841056e-07,0,1.7841056e-07,0.0039944765,0,0,0,0,-0.00066780212,-1.812498e-07,0,-1.812498e-07,0.0013620611,0,0,0,-4.6917581e-19,1,0.038999997,0.139,0,0
1,0.00053508388,6.5499224e-15,0,-6.0696306,0.00033132421,0,0.00033132421,4.0262241,0,0,0,-0.40868226,-0.0039349287,-2.6650721e-08,0,-2.6650721e-08,0.0037589807,0,0,0,0,-0.00053835532,-2.2544512e-07,0,-2.2544512e-07,0.0010980419,0,0,0,1.3702982e-19,1,0.042900003,0.1429,0,0
1,0.00052090164,6.1530248e-15,0,-5.7743421,0.00043215542,0,0.00043215542,4.1710014,0,0,0,-0.32066873,-0.0037013111,5.8156058e-08,0,5.8156058e-08,0.0035702088,0,0,0,0,-0.00042910376,-2.0113725e-07,0,-2.0113725e-07,0.00087521132,0,0,0,-3.4931147e-19,1,0.046799995,0.1468,0,0
1,0.00050693017,5.7449112e-15,0,-5.4748244,0.00056551571,0,0.00056551571,4.3178525,0,0,0,-0.23139477,-0.0034676925,1.6852029e-07,0,1.6852029e-07,0.0033855557,0,0,0,0,-0.00032163237,-1.7078949e-07,0,-1.7078949e-07,0.00065601134,0,0,0,-9.3198254e-19,1,0.050700001,0.1507,0,0
1.4527005,0.00049311097,5.3351154e-15,0,-5.0984135,0.0021120387,0,0.0021120387,4.4819093,0,0,0,-0.12330098,-0.0031989485,1.0558138e-06,0,1.0558138e-06,0.003199375,0,0,0,0,-0.00021388389,-2.1141629e-07,0,-2.1141629e-07,0.00043624925,0,0,0,3.6685695e-19,1,0.054599993,0.15459999,0,0
1.0384316,0.00048155242,4.8995202e-15,0,-4.9404049,0.0014408967,0,0.0014408967,4.4831614,0,0,0,-0.091449127,-0.0030622606,7.1341663e-07,0,7.1341663e-07,0.0030566081,0,0,0,0,-0.00015289029,-1.5112639e-07,0,-1.5112639e-07,0.00031184338,0,0,0,9.3779288e-20,1,0.058499999,0.1585,0,0
