"FailureType","Displacement:0","Displacement:1","Displacement:2","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","StrainPlastic:0","StrainPlastic:1","StrainPlastic:2","StrainPlastic:3","StrainPlastic:4","StrainPlastic:5","StrainPlastic:6","StrainPlastic:7","StrainPlastic:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.86144,0.00073792,7.0731e-06,0,-5.5669,0.12228,0,0.12228,3.4146,0,0,0,-0.43046,-0.0053839,0.00017486,0,0.00017486,0.0070024,0,0,0,0,-0.002302,0.00010149,0,0.00010149,0.0046954,0,0,0,-2.5415e-18,1,0,0.1,0,0
0.86473,0.00072168,6.5749e-06,0,-5.5356,0.13584,0,0.13584,3.4526,0,0,0,-0.41662,-0.005258,0.00017905,0,0.00017905,0.0067818,0,0,0,0,-0.0021866,9.7543e-05,0,9.7543e-05,0.0044603,0,0,0,-2.4315e-18,1,0.0039,0.1039,0,0
0.86801,0.00070543,6.0767e-06,0,-5.5044,0.1494,0,0.1494,3.4905,0,0,0,-0.40278,-0.0051322,0.00018324,0,0.00018324,0.0065613,0,0,0,0,-0.0020712,9.3596e-05,0,9.3596e-05,0.0042253,0,0,0,-2.3215e-18,1,0.0078,0.1078,0,0
0.8713,0.00068919,5.5785e-06,0,-5.4731,0.16296,0,0.16296,3.5284,0,0,0,-0.38894,-0.0050063,0.00018743,0,0.00018743,0.0063407,0,0,0,0,-0.0019558,8.965e-05,0,8.965e-05,0.0039903,0,0,0,-2.2115e-18,1,0.0117,0.1117,0,0
0.87458,0.00067295,5.0803e-06,0,-5.4418,0.17653,0,0.17653,3.5663,0,0,0,-0.3751,-0.0048804,0.00019162,0,0.00019162,0.0061201,0,0,0,0,-0.0018404,8.5704e-05,0,8.5704e-05,0.0037553,0,0,0,-2.1015e-18,1,0.0156,0.1156,0,0
0.87787,0.00065671,4.5821e-06,0,-5.4105,0.19009,0,0.19009,3.6042,0,0,0,-0.36125,-0.0047545,0.00019581,0,0.00019581,0.0058995,0,0,0,0,-0.001725,8.1758e-05,0,8.1758e-05,0.0035202,0,0,0,-1.9916e-18,1,0.0195,0.1195,0,0
0.88115,0.00064047,4.0839e-06,0,-5.3792,0.20365,0,0.20365,3.6421,0,0,0,-0.34741,-0.0046287,0.0002,0,0.0002,0.0056789,0,0,0,0,-0.0016096,7.7811e-05,0,7.7811e-05,0.0032852,0,0,0,-1.8816e-18,1,0.0234,0.1234,0,0
0.88444,0.00062423,3.5857e-06,0,-5.3479,0.21721,0,0.21721,3.68,0,0,0,-0.33357,-0.0045028,0.00020419,0,0.00020419,0.0054583,0,0,0,0,-0.0014942,7.3865e-05,0,7.3865e-05,0.0030502,0,0,0,-1.7716e-18,1,0.0273,0.1273,0,0
0.88772,0.00060799,3.0874e-06,0,-5.3166,0.23077,0,0.23077,3.718,0,0,0,-0.31973,-0.0043769,0.00020838,0,0.00020838,0.0052378,0,0,0,0,-0.0013788,6.9919e-05,0,6.9919e-05,0.0028151,0,0,0,-1.6616e-18,1,0.0312,0.1312,0,0
0.89101,0.00059175,2.5892e-06,0,-5.2853,0.24434,0,0.24434,3.7559,0,0,0,-0.30589,-0.0042511,0.00021257,0,0.00021257,0.0050172,0,0,0,0,-0.0012634,6.5973e-05,0,6.5973e-05,0.0025801,0,0,0,-1.5516e-18,1,0.0351,0.1351,0,0
0.89429,0.00057551,2.091e-06,0,-5.254,0.2579,0,0.2579,3.7938,0,0,0,-0.29205,-0.0041252,0.00021676,0,0.00021676,0.0047966,0,0,0,0,-0.001148,6.2026e-05,0,6.2026e-05,0.0023451,0,0,0,-1.4417e-18,1,0.039,0.139,0,0
0.89758,0.00055927,1.5928e-06,0,-5.2227,0.27146,0,0.27146,3.8317,0,0,0,-0.27821,-0.0039993,0.00022096,0,0.00022096,0.004576,0,0,0,0,-0.0010326,5.808e-05,0,5.808e-05,0.0021101,0,0,0,-1.3317e-18,1,0.0429,0.1429,0,0
0.90086,0.00054303,1.0946e-06,0,-5.1915,0.28502,0,0.28502,3.8696,0,0,0,-0.26437,-0.0038734,0.00022515,0,0.00022515,0.0043554,0,0,0,0,-0.00091719,5.4134e-05,0,5.4134e-05,0.001875,0,0,0,-1.2217e-18,1,0.0468,0.1468,0,0
0.90415,0.00052679,5.9639e-07,0,-5.1602,0.29858,0,0.29858,3.9075,0,0,0,-0.25053,-0.0037476,0.00022934,0,0.00022934,0.0041348,0,0,0,0,-0.00080179,5.0187e-05,0,5.0187e-05,0.00164,0,0,0,-1.1117e-18,1,0.0507,0.1507,0,0
0.90743,0.00051055,9.8181e-08,0,-5.1289,0.31215,0,0.31215,3.9454,0,0,0,-0.23669,-0.0036217,0.00023353,0,0.00023353,0.0039143,0,0,0,0,-0.00068638,4.6241e-05,0,4.6241e-05,0.001405,0,0,0,-1.0017e-18,1,0.0546,0.1546,0,0
