radius  u   sigma_rr   sigma_tt   sigma_zz  eps_rr   eps_tt   eps_zz  eps_p_rr   eps_p_tt   eps_p_zz
4  3.18827e-05   0.00130781   0.00130781   0.00130781   0   0   0   0   0   0
3.99805  3.18854e-05   0.00130019   0.0169401   0.00364807   -1.40873e-06   7.97525e-06   0   -1.05879e-21   -1.69407e-21   -8.47033e-22
3.9961  3.18882e-05   0.00129256   0.0169478   0.00364807   -1.4133e-06   7.97983e-06   0   -6.35275e-22   0   -4.23516e-22
3.99415  3.1891e-05   0.00128493   0.0169554   0.00364807   -1.41789e-06   7.98442e-06   0   -2.11758e-22   0   -4.23516e-22
3.9922  3.18937e-05   0.00127727   0.0169631   0.00364807   -1.42248e-06   7.98901e-06   0   -2.11758e-22   0   -4.23516e-22
3.99025  3.18965e-05   0.00126961   0.0169708   0.00364807   -1.42708e-06   7.99361e-06   0   -1.05879e-21   1.69407e-21   -8.47033e-22
3.9883  3.18993e-05   0.00126194   0.0169784   0.00364808   -1.43168e-06   7.99822e-06   0   -6.35275e-22   0   -4.23516e-22
3.98635  3.19021e-05   0.00125426   0.0169861   0.00364808   -1.43629e-06   8.00283e-06   0   -8.47033e-22   0   -4.23516e-22
3.9844  3.19049e-05   0.00124656   0.0169938   0.00364808   -1.44091e-06   8.00745e-06   0   -4.23516e-22   0   -4.23516e-22
3.98245  3.19077e-05   0.00123885   0.0170015   0.00364808   -1.44554e-06   8.01208e-06   0   -4.23516e-22   0   -4.23516e-22
3.9805  3.19105e-05   0.00123114   0.0170093   0.00364808   -1.45017e-06   8.01671e-06   0   -4.23516e-22   -1.69407e-21   -4.23516e-22
3.97855  3.19134e-05   0.00122341   0.017017   0.00364808   -1.45481e-06   8.02135e-06   0   -6.35275e-22   -1.69407e-21   -4.23516e-22
3.9766  3.19162e-05   0.00121566   0.0170248   0.00364808   -1.45945e-06   8.026e-06   0   -4.23516e-22   0   -4.23516e-22
3.97465  3.19191e-05   0.00120791   0.0170325   0.00364809   -1.4641e-06   8.03066e-06   0   -4.23516e-22   1.69407e-21   -4.23516e-22
3.9727  3.19219e-05   0.00120015   0.0170403   0.00364809   -1.46876e-06   8.03532e-06   0   -4.23516e-22   -1.69407e-21   -4.23516e-22
3.97075  3.19248e-05   0.00119237   0.0170481   0.00364809   -1.47343e-06   8.03999e-06   0   -6.35275e-22   1.69407e-21   -4.23516e-22
3.9688  3.19277e-05   0.00118459   0.0170559   0.00364809   -1.4781e-06   8.04466e-06   0   -8.47033e-22   0   -8.47033e-22
3.96685  3.19305e-05   0.00117679   0.0170637   0.00364809   -1.48278e-06   8.04935e-06   0   -6.35275e-22   -1.69407e-21   -4.23516e-22
3.9649  3.19334e-05   0.00116898   0.0170715   0.00364809   -1.48747e-06   8.05403e-06   0   -8.47033e-22   0   -8.47033e-22
3.96295  3.19363e-05   0.00116116   0.0170793   0.00364809   -1.49216e-06   8.05873e-06   0   -6.35275e-22   -1.69407e-21   -8.47033e-22
3.961  3.19393e-05   0.00115333   0.0170872   0.0036481   -1.49686e-06   8.06343e-06   0   -1.05879e-21   0   -8.47033e-22
3.95905  3.19422e-05   0.00114548   0.017095   0.0036481   -1.50157e-06   8.06814e-06   0   -2.11758e-22   -1.69407e-21   -4.23516e-22
3.9571  3.19451e-05   0.00113763   0.0171029   0.0036481   -1.50628e-06   8.07286e-06   0   -2.11758e-22   -1.69407e-21   -4.23516e-22
3.95515  3.19481e-05   0.00112976   0.0171107   0.0036481   -1.511e-06   8.07758e-06   0   -4.23516e-22   0   -4.23516e-22
3.9532  3.1951e-05   0.00112188   0.0171186   0.0036481   -1.51573e-06   8.08232e-06   0   -8.47033e-22   0   -4.23516e-22
3.95125  3.1954e-05   0.00111399   0.0171265   0.0036481   -1.52047e-06   8.08705e-06   0   -6.35275e-22   -1.69407e-21   -4.23516e-22
3.9493  3.19569e-05   0.00110609   0.0171344   0.0036481   -1.52521e-06   8.0918e-06   0   -6.35275e-22   0   -4.23516e-22
3.94735  3.19599e-05   0.00109817   0.0171424   0.00364811   -1.52996e-06   8.09655e-06   0   -6.35275e-22   0   -4.23516e-22
3.9454  3.19629e-05   0.00109025   0.0171503   0.00364811   -1.53472e-06   8.10131e-06   0   -1.05879e-21   1.69407e-21   -8.47033e-22
3.94345  3.19659e-05   0.00108231   0.0171582   0.00364811   -1.53948e-06   8.10608e-06   0   -4.23516e-22   0   -4.23516e-22
3.9415  3.19689e-05   0.00107436   0.0171662   0.00364811   -1.54425e-06   8.11085e-06   0   -4.23516e-22   0   -4.23516e-22
